X,Y,AGEB
-96.7715523800529,16.9727306201956,2002300010036
-96.771608910392,16.9727413202769,2002300010036
-96.7717157400156,16.972754579711,2002300010036
-96.771808749937,16.972728480381,2002300010036
-96.7719183802081,16.9726401702686,2002300010036
-96.7720847200483,16.9724197098235,2002300010036
-96.7723451403398,16.9720412798269,2002300010036
-96.7726990202073,16.9715650200572,2002300010036
-96.7728930299621,16.9713008502274,2002300010036
-96.7729441802338,16.9712328000395,2002300010036
-96.7728386298745,16.9710789099623,2002300010036
-96.7727314798868,16.9708908198711,2002300010036
-96.7723220297379,16.9700567495626,2002300010036
-96.7720604896214,16.969504909906,2002300010036
-96.7716684502018,16.9687441398883,2002300010036
-96.7714345495701,16.9681784202103,2002300010036
-96.771109309904,16.9676783102456,2002300010036
-96.7707992902638,16.9674354198486,2002300010036
-96.770768370372,16.9674118198011,2002300010036
-96.7703101404363,16.96706212027,2002300010036
-96.7699143103904,16.9667233497412,2002300010036
-96.7696395102234,16.9664881703943,2002300010036
-96.7694412900212,16.9662902802783,2002300010036
-96.7694169097704,16.9661423798283,2002300010036
-96.7694082795631,16.9658225397145,2002300010036
-96.7694409102234,16.9656330501921,2002300010036
-96.7695153803285,16.965502399729,2002300010036
-96.7696526199366,16.9655270901208,2002300010036
-96.7698647100293,16.9656449101985,2002300010036
-96.7700182804081,16.9657320003693,2002300010036
-96.770233079839,16.9658304599616,2002300010036
-96.7704717496317,16.9658961502752,2002300010036
-96.7706411195788,16.9659491098726,2002300010036
-96.7707836799766,16.9659958601382,2002300010036
-96.7709199397057,16.9660224001333,2002300010036
-96.771077249837,16.966072089616,2002300010036
-96.7712704598298,16.9661859497852,2002300010036
-96.7714624001464,16.9664335997291,2002300010036
-96.7716403100933,16.9666288601574,2002300010036
-96.77186137985,16.9667631399634,2002300010036
-96.7719910202575,16.9668320902439,2002300010036
-96.7720440502457,16.9668603203422,2002300010036
-96.7721971096519,16.9669835799932,2002300010036
-96.7723604804055,16.96705486001,2002300010036
-96.7725625497623,16.9671041098039,2002300010036
-96.7727393497615,16.9671585400148,2002300010036
-96.7728784597813,16.9671600802231,2002300010036
-96.7730350003843,16.9671617802834,2002300010036
-96.7732847104213,16.967109749667,2002300010036
-96.7734629803214,16.9671117103807,2002300010036
-96.7736242495865,16.9671134601141,2002300010036
